PaymentTotalId,Title,BusinessId,Price,Date,IsDeposit,CreatedAt,CreatedByUserId
22,July 2021 Expenditures ,,9147.3999999999996,2021-07-01 00:00:00,False,2022-03-12 15:02:31.407000000,6
23,August 2021 Expenditures,,18175.869999999999,2021-08-01 00:00:00,False,2022-03-12 15:03:01.013000000,6
24,September 2021 Expenditures ,,46516.589999999997,2021-09-01 00:00:00,False,2022-03-12 15:03:39.453000000,6
25,October 2021 Expenditures,,20476.48,2021-10-01 00:00:00,False,2022-03-12 15:04:27.783000000,6
26,November 2021 Expenditures,,54747.449999999997,2021-11-01 00:00:00,False,2022-03-12 15:04:54.733000000,6
27,December 2021 Expenditures ,,32604.130000000001,2021-12-01 00:00:00,False,2022-03-12 15:05:38.683000000,6
28,Initial Money from Iran, given back from the University,,78021.009999999995,2019-09-01 00:00:00,True,2022-03-12 15:06:58.627000000,6
29,October 2019 Deposit,,,2019-10-01 00:00:00,True,2022-03-12 15:10:00.353000000,6
30,November 2019 Deposit,,,2019-11-01 00:00:00,True,2022-03-12 15:10:40.813000000,6
31,December 2019 Deposit,,,2019-12-01 00:00:00,True,2022-03-12 15:11:39.990000000,6
32,January 2020 ,,,2020-01-01 00:00:00,True,2022-03-12 15:12:02.703000000,6
33,February 2020 Deposit,,,2020-02-01 00:00:00,True,2022-03-12 15:12:22.983000000,6
37,March 2020 Deposit,10035,941.71000000000004,2020-03-01 00:00:00,True,2022-03-12 15:32:40.723000000,6
38,April 2020 Deposit,10036,2016.5999999999999,2020-04-01 00:00:00,True,2022-03-12 15:34:24.653000000,6
41,May 2020 Deposit,,17113.009999999998,2020-05-01 00:00:00,True,2022-03-12 15:40:49.487000000,6
42,Money from Iran for the second year of study,10039,75655.929999999993,2020-06-01 00:00:00,True,2022-03-12 15:42:19.333000000,6
43,July 2020 Deposit,10036,2028.7,2020-07-01 00:00:00,True,2022-03-12 15:43:37.130000000,6
44,August 2020 Deposit,,32444,2020-08-01 00:00:00,True,2022-03-12 15:44:31.450000000,6
46,September 2020 Deposit,10036,10987.25,2020-09-01 00:00:00,True,2022-03-12 15:47:10.933000000,6
47,October 2020 Deposit,10036,3647.4000000000001,2020-10-01 00:00:00,True,2022-03-12 15:48:13.333000000,6
48,November 2020 Deposit,10036,11646.18,2020-11-01 00:00:00,True,2022-03-12 15:51:01.063000000,6
50,December 2020 Deposit,,12520.950000000001,2020-12-01 00:00:00,True,2022-03-12 15:53:24.203000000,6
52,January 2021 Deposit,10036,13284.969999999999,2021-01-01 00:00:00,True,2022-03-12 15:54:50.127000000,6
53,February 2021 Deposit,10036,5280.5100000000002,2021-02-01 00:00:00,True,2022-03-12 15:55:30.850000000,6
54,March 2021 Deposit ,10036,7427.5900000000001,2021-03-01 00:00:00,True,2022-03-12 15:55:59.753000000,6
55,April 2021 Deposit,10036,4701.5900000000001,2021-04-01 00:00:00,True,2022-03-12 15:56:35.390000000,6
56,May 2021 Deposit,10036,2790.1500000000001,2021-05-01 00:00:00,True,2022-03-12 15:57:19.630000000,6
58,June 2021 Deposit,,11218.18,2021-06-01 00:00:00,True,2022-03-12 15:59:17.663000000,6
60,July 2021 Deposit,,46852.410000000003,2021-07-01 00:00:00,True,2022-03-12 16:01:01.040000000,6
62,August 2021 Deposit,,32341.779999999999,2021-08-01 00:00:00,True,2022-03-12 16:02:28.333000000,6
64,Kafferiet Income, September 2021,10036,13211.66,2021-09-01 00:00:00,True,2022-03-12 16:04:12.837000000,6
65,Kafferiet Income, October 2021,10036,12222.969999999999,2021-10-01 00:00:00,True,2022-03-12 16:04:44.737000000,6
66,November 2021 Deposit,,27453.470000000001,2021-11-01 00:00:00,True,2022-03-12 16:05:32.253000000,6
69,December 2021 Deposit,,38372.879999999997,2021-12-01 00:00:00,True,2022-03-12 16:07:32.367000000,6
76,September 2019 Expenditures,,0,2019-09-01 00:00:00,False,2022-03-05 00:00:00,6
77,Wise Consulting AS income,23,27870,2022-01-01 00:00:00,True,2022-03-20 19:34:51.033000000,6
78,Wise Consulting Income,23,27948,2022-02-01 00:00:00,True,2022-03-20 19:37:19.390000000,6
79,Wise Consulting AS income,23,27948,2022-03-01 00:00:00,True,2022-03-20 19:37:59.743000000,6
